ticker,name,div_yld,eps,pe,1y_est,52wk_low,52wk_high,avg_vol,beta,mktcap,px,div,ev,trail_pe,fwd_pe,peg,px2sales,px2book,ev2rev,ev2ebitda,ebitda_b,ni_b,q_earnings_gr,q_rev_gr,roa,roe,rev_b,_5y_div_yld,bv_per_sh,cash_b,cash_per_sh,curr_ratio,debt_b,debt_to_eq,fcf_b,fwd_div,fwd_div_yld,gross_profit_b,insiders,institution,op_cf_b,oper_margin,payout_ratio,profit_margin,rev_sh,sh_float,sh_short,shares_out,short_ratio,short_to_float,short_to_out,address,employees,exec1_born,exec1_name,exec1_pay,exec1_title,exec2_born,exec2_name,exec2_pay,exec2_title,exec3_born,exec3_name,exec3_pay,exec3_title,govscore,industry,sector,audit,board,sh_holdr_rgts,comp,env_risk,esg_score,gov_risk,social_risk,dt_add,founded,hq,name_y,sector_y,sub_industry,perf_1y
MMM,3M Company ,3.27,9.25,19.16,182.93,114.04,187.27,2761219,0.95,102.622,177.21,5.92,119.50B,19.56,18.76,3.05,3.27,8.14,3.71,13.06,8.92,5.38,43.30%,5.80%,9.53%,46.74%,32.18,2.83,22.27,5.05,8.71,1.88,19.78,152.93,6.01,5.92,3.34%,15.67,0.19%,66.53%,8.11,21.79%,63.57%,16.73%,55.72,578.52M,7.79M,577.75M,2.3,1.35%,1.35%,"3M Center,St. Paul, MN 55144-1000,United States",95000,1960,Mr. Michael F. Roman,2.68,"Chairman, Pres & CEO",1966,Dr. Michael G. Vale Ph.D.,1.19,Exec. VP of Safety & Industrial Bus. Group,1968,Dr. Ashish K. Khandpur,1.06,Exec. VP of Transportation & Electronics Bus. Group,The pillar scores are Audit: 5; Board: 4; Shareholder Rights: 3; Compensation: 8.,Specialty Industrial Machinery,Industrials,5,4,3,8,12.8,35,8.4,14,8/9/1976,1902,"St. Paul, Minnesota",3M Company,Industrials,Industrial Conglomerates,12.47%
ABT,Abbott Laboratories ,1.42,2.5,50.68,134.88,61.61,126.87,4921956,0.73,224.806,126.84,1.8,234.49B,50,24.81,2.64,6.43,7.03,6.78,30.85,9,4.47,106.10%,28.70%,,14.22%,34.61,1.84,17.71,4.73,2.67,,18.56,58.75,,1.8,1.42%,19.77,0.69%,75.58%,,16.53%,57.83%,12.99%,19.38,1.76B,11.52M,1.77B,2.16,0.67%,0.65%,"100 Abbott Park Road,Department 377 Building AP6A-1, Abbott park,North Chicago, IL 60064,United States",109000,1955,Mr. Miles D. White M.B.A.,6.97,Exec. Chairman,1974,Mr. Robert B. Ford,2.63,"CEO, Pres, COO & Director",1979,Mr. Daniel Gesua Sive Salvadori,1.67,Exec. VP of Nutritional Products,The pillar scores are Audit: 2; Board: 7; Shareholder Rights: 7; Compensation: 5.,Medical Devices,Healthcare,2,7,7,5,3,30,10.6,16.2,3/31/1964,1888,"North Chicago, Illinois",Abbott Laboratories,Health Care,Health Care Equipment,44.27%
ABBV,AbbVie Inc. ,5.01,2.72,38.14,120.48,62.55,113.41,7642975,0.81,183.168,103.75,5.2,262.28B,39.68,8.39,,4,12,5.73,46.19,21.53,4.62,-98.70%,59.20%,,129.89%,45.8,4.14,8.65,7.96,4.51,,87.1,569.68,,5.2,5.01%,31.71,0.10%,70.00%,,34.17%,180.53%,10.08%,27.38,1.74B,14.87M,1.77B,1.99,0.84%,0.84%,"1 North Waukegan Road,North Chicago, IL 60064,United States",,1954,Mr. Richard A. Gonzalez,7.11,Chairman & CEO,1966,Dr. Michael E. Severino,3.98,Vice Chairman & Pres,1970,Mr. Robert A. Michael,2.76,Exec. VP & CFO,The pillar scores are Audit: 2; Board: 7; Shareholder Rights: 9; Compensation: 3.,Drug Manufacturers—General,Healthcare,2,7,9,3,0.6,29,11.3,17.1,12/31/2012,2013 (1888),"North Chicago, Illinois",AbbVie Inc.,Health Care,Pharmaceuticals,11.57%
ABMD,"Abiomed, Inc. ",,4.39,73.61,378,119.01,387.4,308061,1.39,14.606,322.93,,14.34B,74.68,,,18.39,11.76,17.64,57.81,0.25056,0.20047,-10.60%,4.50%,10.82%,17.37%,0.81293,,27.89,0.48645,10.76,5.76,0.01087,0.86,0.15978,,,0.68958,2.33%,97.47%,0.2747,27.96%,0.00%,24.66%,18.03,44.24M,1.5M,45.23M,3.96,3.81%,3.32%,"22 Cherry Hill Drive,Danvers, MA 01923,United States",1536,1967,Mr. Michael R. Minogue,1.68,"Chairman, CEO & Pres",1971,Mr. Todd A. Trapp,0.80098,CFO & VP,1961,Dr. David M. Weber,0.75248,Sr. VP & COO,The pillar scores are Audit: 2; Board: 10; Shareholder Rights: 10; Compensation: 9.,Medical Devices,Healthcare,2,10,10,9,,,,,5/31/2018,1981,"Danvers, Massachusetts",Abiomed,Health Care,Health Care Equipment,94.30%
ACN,Accenture plc ,1.37,8.12,31.88,281.36,137.15,271.18,1895051,1.12,171.584,258.97,3.52,162.74B,31.22,30.77,3.48,3.67,9.37,3.64,18.41,7.41,5.25,10.60%,3.50%,11.61%,31.34%,44.73,1.67,28.26,8.68,13.68,1.45,3.43,18.61,7.28,3.52,1.37%,13.98,0.08%,74.38%,9.03,14.84%,40.39%,11.74%,70.34,633.2M,4.61M,661.13M,2.45,0.70%,0.70%,"1 Grand Canal Square,Grand Canal Harbour,Dublin 2,Ireland",514000,1961,Mr. David P. Rowland,2.96,Exec. Chairman & Advisor to CEO,1967,Ms. Julie T. Spellman Sweet,5.4,CEO & Director,1965,Ms. Kathleen R. McClure,2.47,Chief Financial Officer,The pillar scores are Audit: 1; Board: 3; Shareholder Rights: 4; Compensation: 4.,Information Technology Services,Technology,1,3,4,4,0.6,11,5.8,5,7/6/2011,1989,"Dublin, Ireland",Accenture plc,Information Technology,IT Consulting & Other Services,20.45%
ATVI,"Activision Blizzard, Inc. ",,2.82,36.61,111.02,50.51,104.23,6491364,0.66,79.79,103.24,,74.75B,36.61,28.9,2.04,9.93,5.31,9.24,22.83,3.02,2.2,-3.20%,21.50%,8.23%,15.78%,8.09,0.59,19.45,8.65,11.19,3.41,3.6,23.97,2.06,,,5.83,1.22%,89.98%,2.25,34.97%,14.54%,27.17%,10.49,764.27M,8.15M,772.86M,1.4,1.07%,1.05%,"3100 Ocean Park Boulevard,Santa Monica, CA 90405,United States",,1963,Mr. Robert A. Kotick,4.72,CEO & Director,1971,Mr. Dennis  Durkin,5.79,CFO & Pres of Emerging Bus.es,1967,Mr. Christopher B. Walther,2.03,Chief Legal Officer,The pillar scores are Audit: 1; Board: 6; Shareholder Rights: 1; Compensation: 10.,Electronic Gaming & Multimedia,Communication Services,1,6,1,10,0.2,17,6.2,10.7,8/31/2015,2008,"Santa Monica, California",Activision Blizzard,Communication Services,Interactive Home Entertainment,62.86%
ADBE,Adobe Inc. ,,10.83,45.86,563.44,255.13,536.88,2575945,0.97,237.732,496.62,,234.29B,45.44,43.86,2.44,18.55,17.76,18.21,46.4,4.81,5.26,164.40%,14.40%,11.76%,44.21%,12.87,,27.69,5.99,12.52,1.48,4.71,35.49,4.36,,,11.15,0.31%,86.10%,5.73,32.93%,0.00%,40.88%,26.75,477.06M,4.91M,479.72M,1.75,1.03%,1.03%,"345 Park Avenue,San Jose, CA 95110-2704,United States",22516,1964,Mr. Shantanu  Narayen,2.12,"Chairman, Pres & CEO",1939,Dr. Charles M. Geschke,0.06,Co-Founder & Director Emeritus,1969,Mr. John F. Murphy,0.85733,Exec. VP & CFO,The pillar scores are Audit: 1; Board: 3; Shareholder Rights: 1; Compensation: 6.,Software—Infrastructure,Technology,1,3,1,6,0.5,11,4.7,5.7,5/5/1997,1982,"San Jose, California",Adobe Inc.,Information Technology,Application Software,31.67%
AMD,"Advanced Micro Devices, Inc. ",,2.06,44.89,102.37,36.75,99.23,42946298,2.2,112.241,92.66,,108.36B,44.13,47.62,1.69,11.24,18.87,11.1,64.66,1.68,2.49,947.60%,52.50%,11.42%,57.48%,9.76,,4.82,2.29,1.89,2.54,0.572,9.8,0.43225,,,4.35,0.62%,73.87%,1.07,14.02%,0.00%,25.50%,8.25,1.2B,78.64M,1.21B,1.6,6.53%,6.49%,"2485 Augustine Drive,Santa Clara, CA 95054,United States",12600,1970,Dr. Lisa T. Su Ph.D.,2.27,"Pres, CEO & Non-Independent Director",1956,Mr. Devinder  Kumar,1.01,"Exec. VP, CFO & Treasurer",1962,Mr. Mark D. Papermaster,1.11,CTO and Exec. VP of Technology & Engineering,The pillar scores are Audit: 2; Board: 2; Shareholder Rights: 3; Compensation: 10.,Semiconductors,Technology,2,2,3,10,,,,,3/20/2017,1969,"Santa Clara, California",Advanced Micro Devices,Information Technology,Semiconductors,64.83%
AAP,"Advance Auto Parts, Inc. ",0.65,6.87,22.49,176.75,71.33,177.92,1061445,1.32,10.481,154.46,1,12.65B,22.86,16.34,1.04,1.11,2.84,1.28,13.64,1.02,0.47693,19.30%,9.90%,4.16%,13.22%,9.85,0.23,55.35,1.07,15.85,1.38,3.49,92.77,0.32043,1,0.65%,4.26,0.37%,102.28%,0.96758,7.79%,11.77%,4.84%,142.44,63.47M,3.91M,67.85M,3.69,6.78%,5.77%,"2635 East Millbrook Road,Raleigh, NC 27604,United States",39000,1958,Mr. Thomas R. Greco,2.14,"Pres, CEO & Director",1973,Mr. Jeffrey W. Shepherd,0.91071,Exec. VP & CFO,1954,Mr. Robert B. Cushing,0.954,Exec. VP of Professional,The pillar scores are Audit: 1; Board: 6; Shareholder Rights: 1; Compensation: 5.,Specialty Retail,Consumer Cyclical,1,6,1,5,0.1,12,3.3,8.7,7/9/2015,1932,"Raleigh, North Carolina",Advance Auto Parts,Consumer Discretionary,Automotive Retail,7.76%
AES,The AES Corporation ,2.15,-0.53,,28.29,8.11,28.68,6375579,0.87,18.624,28,0.6,35.68B,69.64,15.75,2.29,1.7,8.1,3.74,17.06,3.24,-0.353,,-3.00%,3.99%,-7.77%,9.53,3.63,3.01,1.89,2.84,1.02,21.35,516.48,0.518,0.6,2.15%,2.35,0.29%,102.48%,2.71,22.69%,,-3.67%,14.32,663.23M,11.04M,665.13M,1.55,2.22%,1.66%,"4300 Wilson Boulevard,11th Floor,Arlington, VA 22203,United States",8000,1958,Mr. AndrÃ©s Ricardo  Gluski Weilert,3.42,"Pres, CEO & Director",1978,Mr. Gustavo  Duarte Pimenta,1.21,Exec. VP & CFO,1964,Mr. Bernerd  Da Santos,1.17,"Exec. VP, Chief Operating & Infrastructure Officer",The pillar scores are Audit: 1; Board: 4; Shareholder Rights: 3; Compensation: 4.,Utilities—Diversified,Utilities,1,4,3,4,18.8,33,5.8,8.8,10/2/1998,1981,"Arlington, Virginia",AES Corp,Utilities,Independent Power Producers & Energy Traders,35.66%
AFL,Aflac Incorporated ,2.82,6.67,7.03,46.8,23.07,52.82,3815290,0.98,32.469,46.89,1.32,40.37B,7.03,9.64,,1.52,0.97,1.82,,4.2,4.78,21.80%,5.50%,1.63%,15.29%,22.15,2.32,48.46,,,,7.9,23.54,,1.32,2.82%,4.16,8.69%,61.63%,,18.78%,16.79%,21.57%,31.03,636M,6.01M,692.45M,1.71,0.88%,0.87%,"1932 Wynnton Road,Columbus, GA 31999,United States",,1952,Mr. Daniel Paul Amos,5.84,Chairman & CEO,1964,Mr. Frederick John  Crawford,2.15,Pres & COO,1961,Mr. Eric Mark Kirsch CFA,2.97,"Exec. VP, Global Chief Investment Officer & Pres of Aflac Asset Management LLC",The pillar scores are Audit: 1; Board: 7; Shareholder Rights: 4; Compensation: 2.,Insurance—Life,Financial Services,1,7,4,2,2.5,23,12.9,7.9,5/28/1999,1955,"Columbus, Georgia",Aflac,Financials,Life & Health Insurance,-9.56%
A,"Agilent Technologies, Inc. ",0.61,2.3,55.2,125.71,61.13,129.34,1793579,1.01,38.772,126.96,0.78,38.54B,53.56,33.11,2.88,7.2,7.72,7.22,31.38,1.35,0.719,14.40%,8.50%,6.84%,14.95%,5.34,0.86,15.91,1.44,4.7,2.33,2.54,52.06,0.58675,0.78,0.61%,2.84,0.32%,90.07%,0.921,19.55%,31.30%,13.47%,17.28,305.73M,2.27M,305.39M,1.37,0.75%,0.74%,"5301 Stevens Creek Boulevard,Santa Clara, CA 95051,United States",16400,1961,Mr. Michael R. McMullen,2.42,"CEO, Pres & Director",1969,Mr. Robert W. McMahon,1.05,Sr. VP & CFO,1974,Mr. Michael  Tang,0.87102,"Sr. VP, Gen. Counsel & Sec.",The pillar scores are Audit: 2; Board: 5; Shareholder Rights: 8; Compensation: 3.,Diagnostics & Research,Healthcare,2,5,8,3,0.9,17,6.3,9.4,6/5/2000,1999,"Santa Clara, California",Agilent Technologies,Health Care,Health Care Equipment,50.94%
APD,"Air Products and Chemicals, Inc. ",2.33,8.51,30.27,302.14,167.43,327.89,1457235,0.81,57.021,257.69,6,58.83B,30.21,27.93,1.73,6.38,4.5,6.55,15.68,3.46,1.9,1.30%,5.30%,6.11%,15.46%,8.98,2.28,57.32,6.21,28.08,2.95,8.05,61.56,-0.06111,6,2.33%,3,0.28%,88.10%,3.37,24.92%,62.84%,21.09%,40.56,220.44M,1.45M,221.28M,1.25,0.66%,0.66%,"7201 Hamilton Boulevard,Allentown, PA 18195-1501,United States",19000,1944,Mr. Seifollah  Ghasemi,4.75,"Chairman, Pres & CEO",1964,Mr. Michael Scott Crocco,1.5,Exec. VP & CFO,1961,Dr. Samir J. Serhan,1.77,Exec. VP & COO,The pillar scores are Audit: 1; Board: 5; Shareholder Rights: 6; Compensation: 3.,Chemicals,Basic Materials,1,5,6,3,6.1,11,3.7,1.4,4/30/1985,1940,"Allentown, Pennsylvania",Air Products & Chemicals,Materials,Industrial Gases,1.88%
AKAM,"Akamai Technologies, Inc. ",,3.37,30.11,126,75.18,124.91,1833303,0.41,16.538,101.46,,20.47B,34.6,21.05,1.78,6.22,4.68,6.4,17.59,1.01,0.55705,-4.80%,9.60%,6.11%,14.09%,3.2,,26.08,1.1,6.74,2.55,2.78,65.32,0.32051,,,2.07,2.12%,93.55%,1.22,22.57%,0.00%,17.42%,19.68,160.15M,7.51M,163M,3.65,5.27%,4.61%,"145 Broadway,Cambridge, MA 02142,United States",8368,1957,Dr. F. Thomson Leighton,1,"Co-Founder, CEO & Director",1966,Mr. Rick M. McConnell,1.43,Pres & GM of Web Division,1971,Mr. Edward J. McGowan,1.07,Exec. VP & CFO,The pillar scores are Audit: 1; Board: 3; Shareholder Rights: 9; Compensation: 3.,Software—Infrastructure,Technology,1,3,9,3,2,21,7.5,11.8,7/12/2007,1998,"Cambridge, Massachusetts",Akamai Technologies,Information Technology,Internet Services & Infrastructure,0.62%
ALK,"Alaska Air Group, Inc. ",,-10.59,,60.29,20.02,66.96,1900588,1.82,7.134,57.69,,8.60B,83.02,111.11,,1.93,2.29,2.41,-4.97,-1.29,-1.31,,-63.70%,-7.91%,-35.63%,3.57,1.96,24.19,3.35,26.94,0.94,5.05,168.15,,,,-0.784,0.46%,75.70%,,-48.01%,,-36.65%,28.89,123.68M,3.49M,123.66M,1.86,3.18%,2.82%,"19300 International Boulevard,Seattle, WA 98188,United States",16050,1961,Mr. Bradley D. Tilden,1.79,"Chairman, CEO & Pres",1979,Mr. Shane R. Tackett,0.96616,CFO & EVP of finance,1958,Ms. Helvi Kay Sandvik,0.09294,Independent Director,The pillar scores are Audit: 1; Board: 6; Shareholder Rights: 1; Compensation: 4.,Airlines,Industrials,1,6,1,4,,,,,5/13/2016,1985,"Seattle, Washington",Alaska Air Group Inc,Industrials,Airlines,-12.11%
ALB,Albemarle Corporation ,0.96,3.59,44.53,134.68,48.89,188.35,1695775,1.59,18.644,159.85,1.54,21.04B,43.47,37.31,3.58,5.13,4.41,6.49,29.77,0.85338,0.38152,-36.60%,-15.10%,4.26%,10.82%,3.24,1.55,38.75,0.70207,6.59,1.38,3.68,85.05,-0.00839,1.54,0.96%,1.26,0.32%,89.72%,0.83545,19.32%,42.41%,11.77%,30.52,106.02M,3.4M,116.63M,1.8,3.66%,3.20%,"4250 Congress Street,Suite 900,Charlotte, NC 28209,United States",6000,1961,Mr. Jerry Kent Masters Jr.,0.15,"Pres, CEO & Chairman",1966,Mr. Scott A. Tozier,0.97429,Exec. VP & CFO,1960,Ms. Karen G. Narwold Esq.,0.86102,"Exec. VP, Chief Admin. Officer, Gen. Counsel & Corp. Sec.",The pillar scores are Audit: 1; Board: 3; Shareholder Rights: 7; Compensation: 2.,Specialty Chemicals,Basic Materials,1,3,7,2,19.1,37,8.7,8.9,7/1/2016,1994,"Charlotte, North Carolina",Albemarle Corp,Materials,Specialty Chemicals,85.61%
ARE,"Alexandria Real Estate Equities, Inc. ",2.54,6.01,28.62,192.38,109.22,179.79,874466,0.77,23.508,171.98,4.36,30.64B,28.36,44.84,,11.43,1.99,16.25,18.05,1.18,0.76079,118.10%,13.20%,1.64%,7.01%,1.9,2.78,85.78,0.56853,4.16,3.16,7.91,58.83,0.94188,4.36,2.54%,1.37,1.07%,96.33%,0.88251,28.39%,70.55%,40.55%,15.08,134.98M,5.89M,136.69M,5.29,5.06%,4.31%,"26 North Euclid Avenue,Pasadena, CA 91101,United States",470,1948,"Mr. Joel S. Marcus CPA, J.D.",4.83,Founder & Exec. Chairman,1967,Mr. Peter M. Moglia,2.25,Co-CEO & Co-Chief Investment Officer,1961,Mr. Stephen A. Richardson,2.25,Co-Chief Exec. Officer,The pillar scores are Audit: 1; Board: 10; Shareholder Rights: 9; Compensation: 2.,REIT—Office,Real Estate,1,10,9,2,2,15,6,7.4,3/20/2017,1994,"Pasadena, California",Alexandria Real Estate Equities,Real Estate,Office REITs,-0.45%
ALXN,"Alexion Pharmaceuticals, Inc. ",,2.72,56.83,172.65,72.67,162.6,2833254,1.24,33.965,154.59,,33.70B,56.83,12.53,2.18,5.65,2.92,5.55,33.6,3.19,0.6034,-39.70%,15.00%,10.10%,5.26%,6.07,,53.08,3,13.65,3.59,2.93,25.16,2.11,,,5.52,0.28%,93.36%,3,47.47%,0.00%,9.94%,27.58,218.92M,4.38M,219.71M,1.43,2.08%,1.99%,"121 Seaport Boulevard,Boston, MA 02210,United States",3837,1963,Dr. Ludwig N. Hantson,3.7,CEO & Director,1975,Dr. Aradhana  Sarin M.D.,1.5,Exec. VP & CFO,1969,Mr. Brian M. Goff,1.68,Exec. VP and Chief Commercial & Global Operations Officer,The pillar scores are Audit: 1; Board: 5; Shareholder Rights: 2; Compensation: 8.,Biotechnology,Healthcare,1,5,2,8,0.1,19,6.8,12,5/25/2012,1992,"Boston, Massachusetts",Alexion Pharmaceuticals,Health Care,Pharmaceuticals,55.04%
ALGN,"Align Technology, Inc. ",,22.41,26.73,610,127.88,634.46,530203,1.72,47.231,599,,46.33B,26.73,69.44,3.78,19.2,14.61,18.74,119.68,0.47886,1.78,31.10%,28.40%,6.60%,77.55%,2.47,,41.01,0.96084,12.19,1.39,0.06444,1.99,0.58687,,,1.76,7.94%,89.51%,0.66217,15.66%,0.00%,71.84%,31.39,72.88M,1.3M,78.85M,2.76,1.86%,1.65%,"410 North Scottsdale Road,Suite 1300,Tempe, AZ 85281,United States",,1957,Mr. Joseph M. Hogan,,"Pres, CEO & Director",1967,Mr. John F. Morici,,CFO & Sr. VP of Global Fin.,1970,Mr. Emory M. Wright,1.09,Sr. VP of Global Operations,The pillar scores are Audit: 1; Board: 4; Shareholder Rights: 8; Compensation: 7.,Medical Devices,Healthcare,1,4,8,7,,,,,6/19/2017,1997,"San Jose, California",Align Technology,Health Care,Health Care Supplies,125.83%
