dt_add,founded,hq,name,sector,sub_industry,ticker
8/9/1976,1902,"St. Paul, Minnesota",3M Company,Industrials,Industrial Conglomerates,MMM
3/31/1964,1888,"North Chicago, Illinois",Abbott Laboratories,Health Care,Health Care Equipment,ABT
12/31/2012,2013 (1888),"North Chicago, Illinois",AbbVie Inc.,Health Care,Pharmaceuticals,ABBV
5/31/2018,1981,"Danvers, Massachusetts",Abiomed,Health Care,Health Care Equipment,ABMD
7/6/2011,1989,"Dublin, Ireland",Accenture plc,Information Technology,IT Consulting & Other Services,ACN
8/31/2015,2008,"Santa Monica, California",Activision Blizzard,Communication Services,Interactive Home Entertainment,ATVI
5/5/1997,1982,"San Jose, California",Adobe Inc.,Information Technology,Application Software,ADBE
3/20/2017,1969,"Santa Clara, California",Advanced Micro Devices,Information Technology,Semiconductors,AMD
7/9/2015,1932,"Raleigh, North Carolina",Advance Auto Parts,Consumer Discretionary,Automotive Retail,AAP
10/2/1998,1981,"Arlington, Virginia",AES Corp,Utilities,Independent Power Producers & Energy Traders,AES
5/28/1999,1955,"Columbus, Georgia",Aflac,Financials,Life & Health Insurance,AFL
6/5/2000,1999,"Santa Clara, California",Agilent Technologies,Health Care,Health Care Equipment,A
4/30/1985,1940,"Allentown, Pennsylvania",Air Products & Chemicals,Materials,Industrial Gases,APD
7/12/2007,1998,"Cambridge, Massachusetts",Akamai Technologies,Information Technology,Internet Services & Infrastructure,AKAM
5/13/2016,1985,"Seattle, Washington",Alaska Air Group Inc,Industrials,Airlines,ALK
7/1/2016,1994,"Charlotte, North Carolina",Albemarle Corp,Materials,Specialty Chemicals,ALB
3/20/2017,1994,"Pasadena, California",Alexandria Real Estate Equities,Real Estate,Office REITs,ARE
5/25/2012,1992,"Boston, Massachusetts",Alexion Pharmaceuticals,Health Care,Pharmaceuticals,ALXN
6/19/2017,1997,"San Jose, California",Align Technology,Health Care,Health Care Supplies,ALGN
12/2/2013,1908,"Dublin, Ireland",Allegion,Industrials,Building Products,ALLE
7/1/2016,1917,"Madison, Wisconsin",Alliant Energy Corp,Utilities,Electric Utilities,LNT
7/13/1995,1931,"Northfield Township, Illinois",Allstate Corp,Financials,Property & Casualty Insurance,ALL
4/3/2014,1998,"Mountain View, California",Alphabet Inc.,Communication Services,Interactive Media & Services,GOOGL
4/3/2006,1998,"Mountain View, California",Alphabet Inc.,Communication Services,Interactive Media & Services,GOOG
3/4/1957,1985,"Richmond, Virginia",Altria Group Inc,Consumer Staples,Tobacco,MO
11/18/2005,1994,"Seattle, Washington",Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,AMZN
6/7/2019,2019 (1860),Warmley,Amcor plc,Materials,Paper Packaging,AMCR
9/19/1991,1902,"St. Louis, Missouri",Ameren Corp,Utilities,Multi-Utilities,AEE
3/23/2015,1934,"Fort Worth, Texas",American Airlines Group,Industrials,Airlines,AAL
3/4/1957,1906,"Columbus, Ohio",American Electric Power,Utilities,Electric Utilities,AEP
6/30/1976,1850,"New York, New York",American Express Co,Financials,Consumer Finance,AXP
3/31/1980,1919,"New York, New York",American International Group,Financials,Property & Casualty Insurance,AIG
11/19/2007,1995,"Boston, Massachusetts",American Tower Corp.,Real Estate,Specialized REITs,AMT
3/4/2016,1886,"Camden, New Jersey",American Water Works Company Inc,Utilities,Water Utilities,AWK
10/3/2005,1894,"Minneapolis, Minnesota",Ameriprise Financial,Financials,Asset Management & Custody Banks,AMP
8/30/2001,1985,"Chesterbrook, Pennsylvania",AmerisourceBergen Corp,Health Care,Health Care Distributors,ABC
9/23/2013,1930,"Berwyn, Pennsylvania",AMETEK Inc.,Industrials,Electrical Components & Equipment,AME
1/2/1992,1980,"Thousand Oaks, California",Amgen Inc.,Health Care,Biotechnology,AMGN
9/30/2008,1932,"Wallingford, Connecticut",Amphenol Corp,Information Technology,Electronic Components,APH
10/12/1999,1965,"Norwood, Massachusetts","Analog Devices, Inc.",Information Technology,Semiconductors,ADI
6/19/2017,1969,"Canonsburg, Pennsylvania","ANSYS, Inc.",Information Technology,Application Software,ANSS
7/25/2002,2014 (1946),"Indianapolis, Indiana",Anthem,Health Care,Managed Health Care,ANTM
4/23/1996,1982 (1919),London,Aon plc,Financials,Insurance Brokers,AON
7/26/2017,1916,"Milwaukee, Wisconsin",A.O. Smith Corp,Industrials,Building Products,AOS
7/28/1997,1954,"Houston, Texas",Apache Corporation,Energy,Oil & Gas Exploration & Production,APA
11/30/1982,1977,"Cupertino, California",Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",AAPL
3/16/1995,1967,"Santa Clara, California",Applied Materials Inc.,Information Technology,Semiconductor Equipment,AMAT
12/24/2012,1994,,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,APTV
7/29/1981,1902,"Chicago, Illinois",Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,ADM
8/28/2018,2004,"Santa Clara, California",Arista Networks,Information Technology,Communications Equipment,ANET
5/31/2016,1927,"Rolling Meadows, Illinois",Arthur J. Gallagher & Co.,Financials,Insurance Brokers,AJG
4/10/2007,1892,"New York, New York",Assurant,Financials,Multi-line Insurance,AIZ
1983-11-30 (1957-03-04),1983 (1885),"Dallas, Texas",AT&T Inc.,Communication Services,Integrated Telecommunication Services,T
2/15/2019,1906,"Dallas, Texas",Atmos Energy,Utilities,Gas Utilities,ATO
12/1/1989,1982,"San Rafael, California",Autodesk Inc.,Information Technology,Application Software,ADSK
3/31/1981,1949,"Roseland, New Jersey",Automatic Data Processing,Information Technology,Data Processing & Outsourced Services,ADP
1/2/1997,1979,"Memphis, Tennessee",AutoZone Inc,Consumer Discretionary,Specialty Stores,AZO
1/10/2007,1978,"Arlington, Virginia",AvalonBay Communities,Real Estate,Residential REITs,AVB
12/31/1987,1990,"Glendale, California",Avery Dennison Corp,Materials,Paper Packaging,AVY
7/7/2017,2017,"Houston, Texas",Baker Hughes Co,Energy,Oil & Gas Equipment & Services,BKR
10/31/1984,1880,"Broomfield, Colorado",Ball Corp,Materials,Metal & Glass Containers,BLL
6/30/1976,1998 (1923 / 1874),"Charlotte, North Carolina",Bank of America Corp,Financials,Diversified Banks,BAC
3/31/1995,1784,"New York, New York",The Bank of New York Mellon,Financials,Asset Management & Custody Banks,BK
9/30/1972,1931,"Deerfield, Illinois",Baxter International Inc.,Health Care,Health Care Equipment,BAX
9/30/1972,1897,"Franklin Lakes, New Jersey",Becton Dickinson,Health Care,Health Care Equipment,BDX
2/16/2010,1839,"Omaha, Nebraska",Berkshire Hathaway,Financials,Multi-Sector Holdings,BRK.B
6/29/1999,1966,"Richfield, Minnesota",Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,BBY
6/22/2020,1952,"Hercules, California",Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,BIO
11/13/2003,1978,"Cambridge, Massachusetts",Biogen Inc.,Health Care,Biotechnology,BIIB
4/4/2011,1988,"New York, New York",BlackRock,Financials,Asset Management & Custody Banks,BLK
3/4/1957,1916,"Chicago, Illinois",Boeing Company,Industrials,Aerospace & Defense,BA
11/6/2009,1996,"Norwalk, Connecticut",Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,BKNG
12/19/2011,1880,"Auburn Hills, Michigan",BorgWarner,Consumer Discretionary,Auto Parts & Equipment,BWA
4/3/2006,1970,"Boston, Massachusetts",Boston Properties,Real Estate,Office REITs,BXP
