address,employees,exec1_born,exec1_name,exec1_pay,exec1_title,exec2_born,exec2_name,exec2_pay,exec2_title,exec3_born,exec3_name,exec3_pay,exec3_title,govscore,industry,name_tk,sector
"3M Center,St. Paul, MN 55144-1000,United States","95,000",1960,Mr. Michael F. Roman,2.68M,"Chairman, Pres & CEO",1966,Dr. Michael G. Vale Ph.D.,1.19M,Exec. VP of Safety & Industrial Bus. Group,1968,Dr. Ashish K. Khandpur,1.06M,Exec. VP of Transportation & Electronics Bus. Group,The pillar scores are Audit: 5; Board: 4; Shareholder Rights: 3; Compensation: 8.,Specialty Industrial Machinery,3M Company (MMM),Industrials
"100 Abbott Park Road,Department 377 Building AP6A-1, Abbott park,North Chicago, IL 60064,United States","109,000",1955,Mr. Miles D. White M.B.A.,6.97M,Exec. Chairman,1974,Mr. Robert B. Ford,2.63M,"CEO, Pres, COO & Director",1979,Mr. Daniel Gesua Sive Salvadori,1.67M,Exec. VP of Nutritional Products,The pillar scores are Audit: 2; Board: 7; Shareholder Rights: 7; Compensation: 5.,Medical Devices,Abbott Laboratories (ABT),Healthcare
"1 North Waukegan Road,North Chicago, IL 60064,United States",,1954,Mr. Richard A. Gonzalez,7.11M,Chairman & CEO,1966,Dr. Michael E. Severino,3.98M,Vice Chairman & Pres,1970,Mr. Robert A. Michael,2.76M,Exec. VP & CFO,The pillar scores are Audit: 2; Board: 7; Shareholder Rights: 9; Compensation: 3.,Drug Manufacturers—General,AbbVie Inc. (ABBV),Healthcare
"22 Cherry Hill Drive,Danvers, MA 01923,United States","1,536",1967,Mr. Michael R. Minogue,1.68M,"Chairman, CEO & Pres",1971,Mr. Todd A. Trapp,800.98k,CFO & VP,1961,Dr. David M. Weber,752.48k,Sr. VP & COO,The pillar scores are Audit: 2; Board: 10; Shareholder Rights: 10; Compensation: 9.,Medical Devices,"Abiomed, Inc. (ABMD)",Healthcare
"1 Grand Canal Square,Grand Canal Harbour,Dublin 2,Ireland","514,000",1961,Mr. David P. Rowland,2.96M,Exec. Chairman & Advisor to CEO,1967,Ms. Julie T. Spellman Sweet,5.4M,CEO & Director,1965,Ms. Kathleen R. McClure,2.47M,Chief Financial Officer,The pillar scores are Audit: 1; Board: 3; Shareholder Rights: 4; Compensation: 4.,Information Technology Services,Accenture plc (ACN),Technology
"3100 Ocean Park Boulevard,Santa Monica, CA 90405,United States",,1963,Mr. Robert A. Kotick,4.72M,CEO & Director,1971,Mr. Dennis  Durkin,5.79M,CFO & Pres of Emerging Bus.es,1967,Mr. Christopher B. Walther,2.03M,Chief Legal Officer,The pillar scores are Audit: 1; Board: 6; Shareholder Rights: 1; Compensation: 10.,Electronic Gaming & Multimedia,"Activision Blizzard, Inc. (ATVI)",Communication Services
"345 Park Avenue,San Jose, CA 95110-2704,United States","22,516",1964,Mr. Shantanu  Narayen,2.12M,"Chairman, Pres & CEO",1939,Dr. Charles M. Geschke,60k,Co-Founder & Director Emeritus,1969,Mr. John F. Murphy,857.33k,Exec. VP & CFO,The pillar scores are Audit: 1; Board: 3; Shareholder Rights: 1; Compensation: 6.,Software—Infrastructure,Adobe Inc. (ADBE),Technology
"2485 Augustine Drive,Santa Clara, CA 95054,United States","12,600",1970,Dr. Lisa T. Su Ph.D.,2.27M,"Pres, CEO & Non-Independent Director",1956,Mr. Devinder  Kumar,1.01M,"Exec. VP, CFO & Treasurer",1962,Mr. Mark D. Papermaster,1.11M,CTO and Exec. VP of Technology & Engineering,The pillar scores are Audit: 2; Board: 2; Shareholder Rights: 3; Compensation: 10.,Semiconductors,"Advanced Micro Devices, Inc. (AMD)",Technology
"2635 East Millbrook Road,Raleigh, NC 27604,United States","39,000",1958,Mr. Thomas R. Greco,2.14M,"Pres, CEO & Director",1973,Mr. Jeffrey W. Shepherd,910.71k,Exec. VP & CFO,1954,Mr. Robert B. Cushing,954k,Exec. VP of Professional,The pillar scores are Audit: 1; Board: 6; Shareholder Rights: 1; Compensation: 5.,Specialty Retail,"Advance Auto Parts, Inc. (AAP)",Consumer Cyclical
"4300 Wilson Boulevard,11th Floor,Arlington, VA 22203,United States","8,000",1958,Mr. AndrÃ©s Ricardo  Gluski Weilert,3.42M,"Pres, CEO & Director",1978,Mr. Gustavo  Duarte Pimenta,1.21M,Exec. VP & CFO,1964,Mr. Bernerd  Da Santos,1.17M,"Exec. VP, Chief Operating & Infrastructure Officer",The pillar scores are Audit: 1; Board: 4; Shareholder Rights: 3; Compensation: 4.,Utilities—Diversified,The AES Corporation (AES),Utilities
"1932 Wynnton Road,Columbus, GA 31999,United States",,1952,Mr. Daniel Paul Amos,5.84M,Chairman & CEO,1964,Mr. Frederick John  Crawford,2.15M,Pres & COO,1961,Mr. Eric Mark Kirsch CFA,2.97M,"Exec. VP, Global Chief Investment Officer & Pres of Aflac Asset Management LLC",The pillar scores are Audit: 1; Board: 7; Shareholder Rights: 4; Compensation: 2.,Insurance—Life,Aflac Incorporated (AFL),Financial Services
"5301 Stevens Creek Boulevard,Santa Clara, CA 95051,United States","16,400",1961,Mr. Michael R. McMullen,2.42M,"CEO, Pres & Director",1969,Mr. Robert W. McMahon,1.05M,Sr. VP & CFO,1974,Mr. Michael  Tang,871.02k,"Sr. VP, Gen. Counsel & Sec.",The pillar scores are Audit: 2; Board: 5; Shareholder Rights: 8; Compensation: 3.,Diagnostics & Research,"Agilent Technologies, Inc. (A)",Healthcare
"7201 Hamilton Boulevard,Allentown, PA 18195-1501,United States","19,000",1944,Mr. Seifollah  Ghasemi,4.75M,"Chairman, Pres & CEO",1964,Mr. Michael Scott Crocco,1.5M,Exec. VP & CFO,1961,Dr. Samir J. Serhan,1.77M,Exec. VP & COO,The pillar scores are Audit: 1; Board: 5; Shareholder Rights: 6; Compensation: 3.,Chemicals,"Air Products and Chemicals, Inc. (APD)",Basic Materials
"145 Broadway,Cambridge, MA 02142,United States","8,368",1957,Dr. F. Thomson Leighton,1,"Co-Founder, CEO & Director",1966,Mr. Rick M. McConnell,1.43M,Pres & GM of Web Division,1971,Mr. Edward J. McGowan,1.07M,Exec. VP & CFO,The pillar scores are Audit: 1; Board: 3; Shareholder Rights: 9; Compensation: 3.,Software—Infrastructure,"Akamai Technologies, Inc. (AKAM)",Technology
"19300 International Boulevard,Seattle, WA 98188,United States","16,050",1961,Mr. Bradley D. Tilden,1.79M,"Chairman, CEO & Pres",1979,Mr. Shane R. Tackett,966.16k,CFO & EVP of finance,1958,Ms. Helvi Kay Sandvik,92.94k,Independent Director,The pillar scores are Audit: 1; Board: 6; Shareholder Rights: 1; Compensation: 4.,Airlines,"Alaska Air Group, Inc. (ALK)",Industrials
"4250 Congress Street,Suite 900,Charlotte, NC 28209,United States","6,000",1961,Mr. Jerry Kent Masters Jr.,150k,"Pres, CEO & Chairman",1966,Mr. Scott A. Tozier,974.29k,Exec. VP & CFO,1960,Ms. Karen G. Narwold Esq.,861.02k,"Exec. VP, Chief Admin. Officer, Gen. Counsel & Corp. Sec.",The pillar scores are Audit: 1; Board: 3; Shareholder Rights: 7; Compensation: 2.,Specialty Chemicals,Albemarle Corporation (ALB),Basic Materials
"26 North Euclid Avenue,Pasadena, CA 91101,United States",470,1948,"Mr. Joel S. Marcus CPA, J.D.",4.83M,Founder & Exec. Chairman,1967,Mr. Peter M. Moglia,2.25M,Co-CEO & Co-Chief Investment Officer,1961,Mr. Stephen A. Richardson,2.25M,Co-Chief Exec. Officer,The pillar scores are Audit: 1; Board: 10; Shareholder Rights: 9; Compensation: 2.,REIT—Office,"Alexandria Real Estate Equities, Inc. (ARE)",Real Estate
"121 Seaport Boulevard,Boston, MA 02210,United States","3,837",1963,Dr. Ludwig N. Hantson,3.7M,CEO & Director,1975,Dr. Aradhana  Sarin M.D.,1.5M,Exec. VP & CFO,1969,Mr. Brian M. Goff,1.68M,Exec. VP and Chief Commercial & Global Operations Officer,The pillar scores are Audit: 1; Board: 5; Shareholder Rights: 2; Compensation: 8.,Biotechnology,"Alexion Pharmaceuticals, Inc. (ALXN)",Healthcare
"410 North Scottsdale Road,Suite 1300,Tempe, AZ 85281,United States",,1957,Mr. Joseph M. Hogan,,"Pres, CEO & Director",1967,Mr. John F. Morici,,CFO & Sr. VP of Global Fin.,1970,Mr. Emory M. Wright,1.09M,Sr. VP of Global Operations,The pillar scores are Audit: 1; Board: 4; Shareholder Rights: 8; Compensation: 7.,Medical Devices,"Align Technology, Inc. (ALGN)",Healthcare
"Iveagh Court,Block D Harcourt Road,Dublin 2,Ireland","11,000",1958,Mr. David D. Petratis,,"Chairman, CEO & Pres",1963,Mr. Patrick S. Shannon,,CFO & Sr. VP,1960,Mr. Jeffrey N. Braun,,"Sr. VP, Sec. & Gen. Counsel",The pillar scores are Audit: 2; Board: 9; Shareholder Rights: 8; Compensation: 4.,Security & Protection Services,Allegion plc (ALLE),Industrials
"4902 North Biltmore Lane,Madison, WI 53718,United States","3,597",1964,Mr. John O. Larsen,2.08M,"Chairman, CEO & Pres",1971,Mr. Robert J. Durian,1.08M,Exec. VP & CFO,1960,Mr. Terry L. Kouba,524.77k,Pres of Iowa Energy & Sr. VP of Operations,The pillar scores are Audit: 1; Board: 4; Shareholder Rights: 7; Compensation: 6.,Utilities—Regulated Electric,Alliant Energy Corporation (LNT),Utilities
"2775 Sanders Road,Northbrook, IL 60062-6127,United States",,1958,Mr. Thomas Joseph Wilson II,6.19M,"Pres, CEO & Director",1968,Mr. Mario  Rizzo,1.79M,Exec. VP & CFO,1962,Mr. Dogan  Civgin,2.27M,Pres of Service Bus.es & CEO of Protection Products and Services- AIC & Vice Chairman,The pillar scores are Audit: 1; Board: 4; Shareholder Rights: 1; Compensation: 3.,Insurance—Property & Casualty,The Allstate Corporation (ALL),Financial Services
"1600 Amphitheatre Parkway,Mountain View, CA 94043,United States","135,301",1973,Mr. Sundar  Pichai,4.01M,CEO & Director,1973,Mr. Lawrence Edward Page,1,Co-Founder & Director,1974,Mr. Sergey  Brin,1,Co-Founder & Director,The pillar scores are Audit: 2; Board: 4; Shareholder Rights: 10; Compensation: 10.,Internet Content & Information,Alphabet Inc. (GOOGL),Communication Services
