ticker,ebitda_b,eps,ni_b,q_earnings_gr,q_rev_gr,roa,roe,rev_b,_5y_div_yld,bv_per_sh,cash_b,cash_per_sh,curr_ratio,debt_b,debt_to_eq,fcf_b,fwd_div,fwd_div_yld,gross_profit_b,insiders,institution,op_cf_b,oper_margin,payout_ratio,profit_margin,rev_sh,sh_float,sh_short,shares_out,short_ratio,short_to_float,short_to_out
MMM,8.92,9.25,5.38,43.30%,5.80%,9.53%,46.74%,32.18,2.83,22.27,5.05,8.71,1.88,19.78,152.93,6.01,5.92,3.34%,15.67,0.19%,66.53%,8.11,21.79%,63.57%,16.73%,55.72,578.52M,7.79M,577.75M,2.3,1.35%,1.35%
ABT,9,2.5,4.47,106.10%,28.70%,,14.22%,34.61,1.84,17.71,4.73,2.67,,18.56,58.75,nan,1.8,1.42%,19.77,0.69%,75.58%,nan,16.53%,57.83%,12.99%,19.38,1.76B,11.52M,1.77B,2.16,0.67%,0.65%
ABBV,21.53,2.72,4.62,-98.70%,59.20%,,129.89%,45.8,4.14,8.65,7.96,4.51,,87.1,569.68,nan,5.2,5.01%,31.71,0.10%,70.00%,nan,34.17%,180.53%,10.08%,27.38,1.74B,14.87M,1.77B,1.99,0.84%,0.84%
ABMD,0.25056,4.39,0.20047,-10.60%,4.50%,10.82%,17.37%,0.81293,,27.89,0.48645,10.76,5.76,0.01087,0.86,0.15978,,,0.68958,2.33%,97.47%,0.2747,27.96%,0.00%,24.66%,18.03,44.24M,1.5M,45.23M,3.96,3.81%,3.32%
ACN,7.41,8.12,5.25,10.60%,3.50%,11.61%,31.34%,44.73,1.67,28.26,8.68,13.68,1.45,3.43,18.61,7.28,3.52,1.37%,13.98,0.08%,74.38%,9.03,14.84%,40.39%,11.74%,70.34,633.2M,4.61M,661.13M,2.45,0.70%,0.70%
ATVI,3.02,2.82,2.2,-3.20%,21.50%,8.23%,15.78%,8.09,0.59,19.45,8.65,11.19,3.41,3.6,23.97,2.06,,,5.83,1.22%,89.98%,2.25,34.97%,14.54%,27.17%,10.49,764.27M,8.15M,772.86M,1.4,1.07%,1.05%
ADBE,4.81,10.83,5.26,164.40%,14.40%,11.76%,44.21%,12.87,,27.69,5.99,12.52,1.48,4.71,35.49,4.36,,,11.15,0.31%,86.10%,5.73,32.93%,0.00%,40.88%,26.75,477.06M,4.91M,479.72M,1.75,1.03%,1.03%
AMD,1.68,2.06,2.49,947.60%,52.50%,11.42%,57.48%,9.76,,4.82,2.29,1.89,2.54,0.572,9.8,0.43225,,,4.35,0.62%,73.87%,1.07,14.02%,0.00%,25.50%,8.25,1.2B,78.64M,1.21B,1.6,6.53%,6.49%
AAP,1.02,6.87,0.47693,19.30%,9.90%,4.16%,13.22%,9.85,0.23,55.35,1.07,15.85,1.38,3.49,92.77,0.32043,1,0.65%,4.26,0.37%,102.28%,0.96758,7.79%,11.77%,4.84%,142.44,63.47M,3.91M,67.85M,3.69,6.78%,5.77%
AES,3.24,-0.53,-0.353,,-3.00%,3.99%,-7.77%,9.53,3.63,3.01,1.89,2.84,1.02,21.35,516.48,0.518,0.6,2.15%,2.35,0.29%,102.48%,2.71,22.69%,,-3.67%,14.32,663.23M,11.04M,665.13M,1.55,2.22%,1.66%
