EBITDA,EPS,NI,Q_earnings_gr,Q_rev_gr,ROA,ROE,Rev,_5Y_div_yld,bv_per_sh,cash,cash_per_sh,curr_ratio,debt,debt_to_eq,fcf,fwd_div,fwd_div_yld,gross_profit,insiders,institution,name_tk,op_cf,oper_margin,payout_ratio,profit_margin,rev_sh,sh_float,sh_short,shares_out,short_ratio,short_to_float,short_to_out
8.92B,9.25,5.38B,43.30%,5.80%,9.53%,46.74%,32.18B,2.83,22.27,5.05B,8.71,1.88,19.78B,152.93,6.01B,5.92,3.34%,15.67B,0.19%,66.53%,3M Company (MMM),8.11B,21.79%,63.57%,16.73%,55.72,578.52M,7.79M,577.75M,2.3,1.35%,1.35%
9B,2.50,4.47B,106.10%,28.70%,N/A,14.22%,34.61B,1.84,17.71,4.73B,2.67,N/A,18.56B,58.75,N/A,1.8,1.42%,19.77B,0.69%,75.58%,Abbott Laboratories (ABT),N/A,16.53%,57.83%,12.99%,19.38,1.76B,11.52M,1.77B,2.16,0.67%,0.65%
21.53B,2.72,4.62B,-98.70%,59.20%,N/A,129.89%,45.8B,4.14,8.65,7.96B,4.51,N/A,87.1B,569.68,N/A,5.2,5.01%,31.71B,0.10%,70.00%,AbbVie Inc. (ABBV),N/A,34.17%,180.53%,10.08%,27.38,1.74B,14.87M,1.77B,1.99,0.84%,0.84%
250.56M,4.39,200.47M,-10.60%,4.50%,10.82%,17.37%,812.93M,N/A,27.89,486.45M,10.76,5.76,10.87M,0.86,159.78M,N/A,N/A,689.58M,2.33%,97.47%,"Abiomed, Inc. (ABMD)",274.7M,27.96%,0.00%,24.66%,18.03,44.24M,1.5M,45.23M,3.96,3.81%,3.32%
7.41B,8.12,5.25B,10.60%,3.50%,11.61%,31.34%,44.73B,1.67,28.26,8.68B,13.68,1.45,3.43B,18.61,7.28B,3.52,1.37%,13.98B,0.08%,74.38%,Accenture plc (ACN),9.03B,14.84%,40.39%,11.74%,70.34,633.2M,4.61M,661.13M,2.45,0.70%,0.70%
3.02B,2.82,2.2B,-3.20%,21.50%,8.23%,15.78%,8.09B,0.59,19.45,8.65B,11.19,3.41,3.6B,23.97,2.06B,N/A,N/A,5.83B,1.22%,89.98%,"Activision Blizzard, Inc. (ATVI)",2.25B,34.97%,14.54%,27.17%,10.49,764.27M,8.15M,772.86M,1.4,1.07%,1.05%
4.81B,10.83,5.26B,164.40%,14.40%,11.76%,44.21%,12.87B,N/A,27.69,5.99B,12.52,1.48,4.71B,35.49,4.36B,N/A,N/A,11.15B,0.31%,86.10%,Adobe Inc. (ADBE),5.73B,32.93%,0.00%,40.88%,26.75,477.06M,4.91M,479.72M,1.75,1.03%,1.03%
1.68B,2.06,2.49B,947.60%,52.50%,11.42%,57.48%,9.76B,N/A,4.82,2.29B,1.89,2.54,572M,9.80,432.25M,N/A,N/A,4.35B,0.62%,73.87%,"Advanced Micro Devices, Inc. (AMD)",1.07B,14.02%,0.00%,25.50%,8.25,1.2B,78.64M,1.21B,1.6,6.53%,6.49%
1.02B,6.87,476.93M,19.30%,9.90%,4.16%,13.22%,9.85B,0.23,55.35,1.07B,15.85,1.38,3.49B,92.77,320.43M,1,0.65%,4.26B,0.37%,102.28%,"Advance Auto Parts, Inc. (AAP)",967.58M,7.79%,11.77%,4.84%,142.44,63.47M,3.91M,67.85M,3.69,6.78%,5.77%
3.24B,-0.53,-353M,N/A,-3.00%,3.99%,-7.77%,9.53B,3.63,3.01,1.89B,2.84,1.02,21.35B,516.48,518M,0.6,2.15%,2.35B,0.29%,102.48%,The AES Corporation (AES),2.71B,22.69%,N/A,-3.67%,14.32,663.23M,11.04M,665.13M,1.55,2.22%,1.66%
4.2B,6.67,4.78B,21.80%,5.50%,1.63%,15.29%,22.15B,2.32,48.46,N/A,N/A,N/A,7.9B,23.54,N/A,1.32,2.82%,4.16B,8.69%,61.63%,Aflac Incorporated (AFL),N/A,18.78%,16.79%,21.57%,31.03,636M,6.01M,692.45M,1.71,0.88%,0.87%
1.35B,2.30,719M,14.40%,8.50%,6.84%,14.95%,5.34B,0.86,15.91,1.44B,4.7,2.33,2.54B,52.06,586.75M,0.78,0.61%,2.84B,0.32%,90.07%,"Agilent Technologies, Inc. (A)",921M,19.55%,31.30%,13.47%,17.28,305.73M,2.27M,305.39M,1.37,0.75%,0.74%
3.46B,8.51,1.9B,1.30%,5.30%,6.11%,15.46%,8.98B,2.28,57.32,6.21B,28.08,2.95,8.05B,61.56,-61.11M,6,2.33%,3B,0.28%,88.10%,"Air Products and Chemicals, Inc. (APD)",3.37B,24.92%,62.84%,21.09%,40.56,220.44M,1.45M,221.28M,1.25,0.66%,0.66%
1.01B,3.37,557.05M,-4.80%,9.60%,6.11%,14.09%,3.2B,N/A,26.08,1.1B,6.74,2.55,2.78B,65.32,320.51M,N/A,N/A,2.07B,2.12%,93.55%,"Akamai Technologies, Inc. (AKAM)",1.22B,22.57%,0.00%,17.42%,19.68,160.15M,7.51M,163M,3.65,5.27%,4.61%
-1.29B,-10.59,-1.31B,N/A,-63.70%,-7.91%,-35.63%,3.57B,1.96,24.19,3.35B,26.94,0.94,5.05B,168.15,N/A,N/A,N/A,-784M,0.46%,75.70%,"Alaska Air Group, Inc. (ALK)",N/A,-48.01%,N/A,-36.65%,28.89,123.68M,3.49M,123.66M,1.86,3.18%,2.82%
853.38M,3.59,381.52M,-36.60%,-15.10%,4.26%,10.82%,3.24B,1.55,38.75,702.07M,6.59,1.38,3.68B,85.05,-8.39M,1.54,0.96%,1.26B,0.32%,89.72%,Albemarle Corporation (ALB),835.45M,19.32%,42.41%,11.77%,30.52,106.02M,3.4M,116.63M,1.8,3.66%,3.20%
1.18B,6.01,760.79M,118.10%,13.20%,1.64%,7.01%,1.9B,2.78,85.78,568.53M,4.16,3.16,7.91B,58.83,941.88M,4.36,2.54%,1.37B,1.07%,96.33%,"Alexandria Real Estate Equities, Inc. (ARE)",882.51M,28.39%,70.55%,40.55%,15.08,134.98M,5.89M,136.69M,5.29,5.06%,4.31%
3.19B,2.72,603.4M,-39.70%,15.00%,10.10%,5.26%,6.07B,N/A,53.08,3B,13.65,3.59,2.93B,25.16,2.11B,N/A,N/A,5.52B,0.28%,93.36%,"Alexion Pharmaceuticals, Inc. (ALXN)",3B,47.47%,0.00%,9.94%,27.58,218.92M,4.38M,219.71M,1.43,2.08%,1.99%
478.86M,22.41,1.78B,31.10%,28.40%,6.60%,77.55%,2.47B,N/A,41.01,960.84M,12.19,1.39,64.44M,1.99,586.87M,N/A,N/A,1.76B,7.94%,89.51%,"Align Technology, Inc. (ALGN)",662.17M,15.66%,0.00%,71.84%,31.39,72.88M,1.3M,78.85M,2.76,1.86%,1.65%
610.6M,3.24,301.7M,11.60%,-2.70%,11.55%,39.86%,2.71B,0.87,8.94,428.9M,4.66,2.29,1.52B,184.37,364.09M,N/A,N/A,1.25B,0.36%,98.93%,Allegion plc (ALLE),498.2M,20.07%,37.96%,11.12%,29.30,91.62M,2.55M,92.04M,3.97,3.54%,2.77%
1.35B,2.69,661.2M,8.80%,-7.10%,2.78%,11.94%,3.48B,2.97,22.86,189M,0.76,0.80,7B,118.51,-760.17M,1.61,3.31%,1.46B,0.12%,75.70%,Alliant Energy Corporation (LNT),587.4M,21.75%,55.78%,19.01%,14.13,249.35M,2.78M,249.76M,2.27,1.27%,1.11%
8.2B,17.31,5.46B,48.00%,4.80%,3.83%,19.84%,44.79B,1.85,92.92,8.18B,26.9,0.55,7.82B,25.90,N/A,2.16,2.07%,14.28B,0.43%,80.53%,The Allstate Corporation (ALL),N/A,16.82%,12.48%,12.45%,143.74,302.33M,3.98M,304.19M,2.39,1.31%,1.31%
54.9B,58.61,40.27B,42.70%,23.50%,8.65%,19.00%,182.53B,N/A,329.59,136.69B,202.77,3.07,27.87B,12.52,35.91B,N/A,N/A,97.8B,0.12%,80.25%,Alphabet Inc. (GOOGL),65.12B,22.58%,0.00%,22.06%,268.10,607.45M,2.85M,300.64M,1.47,0.95%,0.42%
54.9B,58.61,40.27B,42.70%,23.50%,8.65%,19.00%,182.53B,N/A,329.59,136.69B,202.77,3.07,27.87B,12.52,35.91B,N/A,N/A,97.8B,5.86%,68.10%,Alphabet Inc. (GOOG),65.12B,22.58%,0.00%,22.06%,268.10,607.45M,2.53M,329.87M,1.51,N/A,0.37%
11.77B,2.40,4.47B,N/A,5.30%,14.89%,95.56%,20.84B,5.38,1.57,4.94B,2.66,0.79,29.47B,993.96,N/A,3.44,7.90%,13.49B,0.11%,63.10%,"Altria Group, Inc. (MO)",N/A,55.25%,141.67%,21.43%,11.21,1.86B,11.75M,1.86B,1.46,0.63%,0.63%
48.15B,41.83,21.33B,121.00%,43.60%,5.24%,27.44%,386.06B,N/A,185.69,84.4B,167.6,1.05,101.23B,108.38,36.64B,N/A,N/A,152.76B,14.56%,58.66%,"Amazon.com, Inc. (AMZN)",66.06B,5.93%,0.00%,5.53%,772.13,429.33M,3.32M,500.89M,0.88,0.77%,0.66%
