DivYld,EPS,PE,_1YTargetEst,_52wkrange,avg_vol,beta,mktcap,name_tk,px
5.92 (3.27%),9.25,19.16,182.93,114.04 - 187.27,"2,761,219",0.95,102.622,3M Company (MMM),177.21
1.80 (1.42%),2.5,50.68,134.88,61.61 - 126.87,"4,921,956",0.73,224.806,Abbott Laboratories (ABT),126.84
5.20 (5.01%),2.72,38.14,120.48,62.55 - 113.41,"7,642,975",0.81,183.168,AbbVie Inc. (ABBV),103.75
N/A (N/A),4.39,73.61,378,119.01 - 387.40,"308,061",1.39,14.606,"Abiomed, Inc. (ABMD)",322.93
3.52 (1.37%),8.12,31.88,281.36,137.15 - 271.18,"1,895,051",1.12,171.584,Accenture plc (ACN),258.97
N/A (N/A),2.82,36.61,111.02,50.51 - 104.23,"6,491,364",0.66,79.79,"Activision Blizzard, Inc. (ATVI)",103.24
N/A (N/A),10.83,45.86,563.44,255.13 - 536.88,"2,575,945",0.97,237.732,Adobe Inc. (ADBE),496.62
N/A (N/A),2.06,44.89,102.37,36.75 - 99.23,"42,946,298",2.2,112.241,"Advanced Micro Devices, Inc. (AMD)",92.66
1.00 (0.65%),6.87,22.49,176.75,71.33 - 177.92,"1,061,445",1.32,10.481,"Advance Auto Parts, Inc. (AAP)",154.46
0.60 (2.15%),-0.53,N/A,28.29,8.11 - 28.68,"6,375,579",0.87,18.624,The AES Corporation (AES),28
1.32 (2.82%),6.67,7.03,46.8,23.07 - 52.82,"3,815,290",0.98,32.469,Aflac Incorporated (AFL),46.89
0.78 (0.61%),2.3,55.2,125.71,61.13 - 129.34,"1,793,579",1.01,38.772,"Agilent Technologies, Inc. (A)",126.96
6.00 (2.33%),8.51,30.27,302.14,167.43 - 327.89,"1,457,235",0.81,57.021,"Air Products and Chemicals, Inc. (APD)",257.69
N/A (N/A),3.37,30.11,126,75.18 - 124.91,"1,833,303",0.41,16.538,"Akamai Technologies, Inc. (AKAM)",101.46
N/A (N/A),-10.59,N/A,60.29,20.02 - 66.96,"1,900,588",1.82,7.134,"Alaska Air Group, Inc. (ALK)",57.69
1.54 (0.96%),3.59,44.53,134.68,48.89 - 188.35,"1,695,775",1.59,18.644,Albemarle Corporation (ALB),159.85
4.36 (2.54%),6.01,28.62,192.38,109.22 - 179.79,"874,466",0.77,23.508,"Alexandria Real Estate Equities, Inc. (ARE)",171.98
N/A (N/A),2.72,56.83,172.65,72.67 - 162.60,"2,833,254",1.24,33.965,"Alexion Pharmaceuticals, Inc. (ALXN)",154.59
N/A (N/A),22.41,26.73,610,127.88 - 634.46,"530,203",1.72,47.231,"Align Technology, Inc. (ALGN)",599
N/A (N/A),3.24,36.77,118.22,77.37 - 139.24,"659,274",1.13,10.963,Allegion plc (ALLE),119.11
1.61 (3.31%),2.69,18.13,57.11,37.66 - 60.28,"1,191,427",0.33,12.166,Alliant Energy Corporation (LNT),48.71
2.16 (2.07%),17.31,6.04,125.14,64.13 - 125.92,"1,795,020",0.83,31.782,The Allstate Corporation (ALL),104.48
N/A (N/A),58.61,35.64,"2,283.14","1,008.87 - 2,115.00","1,667,541",0.99,1410,Alphabet Inc. (GOOGL),"2,088.75"
N/A (N/A),58.61,35.76,"2,198.33","1,013.54 - 2,123.55","1,572,866",0.99,1410,Alphabet Inc. (GOOG),"2,095.89"
3.44 (7.90%),2.4,18.05,48.87,30.95 - 46.22,"8,991,051",0.62,80.488,"Altria Group, Inc. (MO)",43.31
N/A (N/A),41.83,77.99,"4,002.71","1,626.03 - 3,552.25","3,691,633",1.14,1643,"Amazon.com, Inc. (AMZN)","3,262.13"
0.47 (4.18%),0.31,36.1,12.32,5.80 - 12.40,"5,858,488",0.44,17.65,Amcor plc (AMCR),11.3
2.06 (2.84%),3.42,21.2,85.39,58.74 - 87.66,"1,612,203",0.25,17.937,Ameren Corporation (AEE),72.56
N/A (N/A),-18.36,N/A,11.94,8.25 - 30.27,"75,846,087",1.83,10.559,American Airlines Group Inc. (AAL),16.99
2.96 (3.75%),3.86,20.44,93.78,65.14 - 104.63,"2,988,712",0.25,39.19,"American Electric Power Company, Inc. (AEP)",78.95
1.72 (1.34%),3.77,34.03,130.32,67.00 - 138.04,"3,942,006",1.28,103.315,American Express Company (AXP),128.31
1.28 (3.02%),-5.72,N/A,41.6,16.07 - 50.66,"4,763,504",1.36,35.839,"American International Group, Inc. (AIG)",41.6
4.84 (2.12%),4.23,53.86,276.5,174.32 - 272.20,"2,293,458",0.23,101.201,American Tower Corporation (REIT) (AMT),227.82
2.20 (1.33%),3.65,45.16,165,92.00 - 172.56,"864,912",0.22,29.879,"American Water Works Company, Inc. (AWK)",164.83
4.16 (1.94%),12.2,17.6,231.3,80.01 - 217.74,"653,624",1.69,25.077,"Ameriprise Financial, Inc. (AMP)",214.7
1.76 (1.68%),-15.76,N/A,126.07,72.06 - 112.88,"1,182,977",0.49,21.398,AmerisourceBergen Corporation (ABC),104.53
0.72 (0.59%),3.77,32.27,134.46,54.82 - 125.81,"950,991",1.33,27.987,"AMETEK, Inc. (AME)",121.65
7.04 (2.95%),12.31,19.09,254.2,177.05 - 276.69,"2,523,375",0.73,135.751,Amgen Inc. (AMGN),235.04
N/A (N/A),3.91,33.91,141.86,63.05 - 137.18,"1,267,588",1.28,39.721,Amphenol Corporation (APH),132.59
2.48 (1.56%),3.28,48.41,164.02,79.08 - 162.98,"2,546,280",1.32,58.661,"Analog Devices, Inc. (ADI)",158.8
N/A (N/A),4.4,90.05,350.73,200.07 - 396.62,"397,609",1.23,34.021,"ANSYS, Inc. (ANSS)",396.13
4.52 (1.54%),17.98,16.29,366.95,171.03 - 340.98,"1,262,037",1.01,72.83,"Anthem, Inc. (ANTM)",292.84
1.84 (0.81%),8.45,27.12,240.85,143.93 - 238.19,"1,573,998",0.84,53.12,Aon Plc (AON),229.31
1.04 (1.70%),2.12,28.82,61.22,33.81 - 61.96,"1,136,719",1.04,9.864,A. O. Smith Corporation (AOS),61.09
N/A (N/A),-20.78,N/A,19.61,3.80 - 29.21,"9,742,495",4.99,6.41,Apache Corporation (APA),16.98
0.82 (0.61%),3.69,36.65,151.75,53.15 - 145.09,"103,176,690",1.27,2.269T,Apple Inc. (AAPL),135.13
0.88 (0.83%),3.92,28.83,110.48,36.64 - 114.30,"7,079,085",1.47,103.696,"Applied Materials, Inc. (AMAT)",113
