,env_risk,esg_score,gov_risk,social_risk,ticker
0,12.8,35,8.4,14.0,MMM
1,3.0,30,10.6,16.2,ABT
2,0.6,29,11.3,17.1,ABBV
3,0.6,11,5.8,5.0,ACN
4,0.2,17,6.2,10.7,ATVI
5,0.5,11,4.7,5.7,ADBE
6,0.1,12,3.3,8.7,AAP
7,18.8,33,5.8,8.8,AES
8,2.5,23,12.9,7.9,AFL
9,0.9,17,6.3,9.4,A
10,6.1,11,3.7,1.4,APD
11,2.0,21,7.5,11.8,AKAM
12,19.1,37,8.7,8.9,ALB
13,2.0,15,6.0,7.4,ARE
14,0.1,19,6.8,12.0,ALXN
15,11.1,22,6.6,4.2,ALLE
16,14.7,28,6.3,7.4,LNT
17,1.6,23,12.7,8.7,ALL
18,0.5,23,12.5,9.9,GOOGL
19,5.8,25,6.5,13.0,MO
20,5.1,27,9.8,12.5,AMZN
21,15.5,34,6.4,12.2,AEE
22,11.7,30,5.6,12.6,AAL
23,19.3,34,5.3,9.8,AEP
24,0.1,20,9.8,9.9,AXP
25,2.0,31,15.2,13.6,AIG
26,3.7,12,5.0,3.8,AMT
27,13.4,29,5.7,10.0,AWK
28,2.3,26,12.8,10.7,AMP
29,1.2,13,6.1,5.5,ABC
30,8.3,26,7.7,9.9,AME
31,0.0,20,6.8,13.6,AMGN
32,10.0,24,7.7,6.0,APH
33,11.0,26,7.2,7.5,ADI
34,1.1,15,4.8,9.0,ANSS
35,0.0,12,5.3,7.0,ANTM
36,9.5,33,8.1,14.9,AOS
37,22.0,39,8.0,8.9,APA
38,0.1,17,8.9,7.6,AAPL
39,5.3,15,5.5,3.9,AMAT
40,3.8,14,5.5,4.6,APTV
41,15.9,34,4.8,13.4,ADM
42,0.4,18,8.2,9.1,ANET
43,0.1,25,12.7,11.7,AJG
44,1.3,25,13.3,10.6,AIZ
45,1.9,19,6.3,10.9,T
46,14.4,36,6.8,14.5,ATO
47,1.4,15,4.8,9.2,ADSK
48,0.1,13,5.7,7.1,ADP
49,0.1,12,3.8,8.1,AZO
50,3.4,12,5.3,2.9,AVB
51,12.3,18,4.1,1.9,AVY
52,10.0,15,4.1,1.3,BLL
53,1.6,26,10.7,13.9,BAC
54,2.0,21,10.6,8.5,BK
55,2.5,28,9.3,16.2,BAX
56,3.4,29,9.5,15.7,BDX
57,2.1,12,4.7,5.2,BBY
58,1.5,21,7.3,12.3,BIO
59,0.0,22,7.5,15.0,BIIB
60,1.5,23,10.9,10.4,BLK
61,7.8,36,8.8,19.7,BA
62,3.9,20,6.3,9.7,BKNG
63,5.7,24,7.5,10.8,BWA
64,3.8,14,5.0,5.1,BXP
65,3.0,31,11.4,16.4,BSX
66,0.0,23,7.4,15.2,BMY
67,9.0,26,7.9,8.7,AVGO
68,0.0,15,7.0,8.0,BR
69,6.0,26,7.0,13.0,CHRW
70,25.0,50,10.0,16.0,COG
71,1.0,17,5.0,10.0,CDNS
72,9.0,22,5.0,8.0,CPB
73,0.0,23,10.0,13.0,COF
74,3.0,13,4.0,5.0,CAH
75,0.0,13,4.0,9.0,KMX
76,8.0,21,4.0,9.0,CCL
77,11.0,39,9.0,20.0,CAT
78,3.0,19,9.0,7.0,CBOE
79,2.0,9,4.0,3.0,CBRE
80,4.0,11,4.0,3.0,CDW
81,15.0,30,7.0,8.0,CE
82,0.0,23,7.0,16.0,CNC
83,18.0,36,6.0,12.0,CNP
84,0.0,20,7.0,13.0,CERN
85,19.0,33,5.0,9.0,CF
86,2.0,25,13.0,11.0,SCHW
87,18.0,40,10.0,12.0,CVX
88,2.0,20,8.0,10.0,CHTR
89,4.0,24,6.0,15.0,CMG
90,2.0,24,11.0,11.0,CB
